measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,177,Djibouti,3,Both,22,All ages,345,Malaria,1,Number,1990,62.08864460225489,148.31653027212403,22.059252308987233
1,Deaths,177,Djibouti,3,Both,22,All ages,345,Malaria,3,Rate,1990,12.775209845816729,30.517251744951075,4.5388585802514685
1,Deaths,114,Haiti,3,Both,22,All ages,345,Malaria,1,Number,1990,439.78017300548635,899.9902326420465,128.4293723831531
1,Deaths,114,Haiti,3,Both,22,All ages,345,Malaria,3,Rate,1990,6.919429512245846,14.160299528552638,2.020686797756377
1,Deaths,98,Chile,3,Both,22,All ages,298,HIV/AIDS,1,Number,1990,105.47222156829538,108.15570154362572,102.98505848761096
1,Deaths,98,Chile,3,Both,22,All ages,298,HIV/AIDS,3,Rate,1990,0.7942078103726319,0.8144144650130273,0.775479425637974
1,Deaths,210,Liberia,3,Both,22,All ages,298,HIV/AIDS,1,Number,1990,122.89222734471005,294.898958747525,54.34581324682248
1,Deaths,210,Liberia,3,Both,22,All ages,298,HIV/AIDS,3,Rate,1990,6.256496360223246,15.013433330183162,2.766768819466379
1,Deaths,305,Bermuda,3,Both,22,All ages,298,HIV/AIDS,1,Number,1990,15.007854493086386,15.346403662089998,14.669144561432997
1,Deaths,305,Bermuda,3,Both,22,All ages,298,HIV/AIDS,3,Rate,1990,25.243245652483154,25.812686130636727,24.673534771184244
1,Deaths,194,Lesotho,3,Both,22,All ages,345,Malaria,1,Number,1990,0.0,0.0,0.0
1,Deaths,194,Lesotho,3,Both,22,All ages,345,Malaria,3,Rate,1990,0.0,0.0,0.0
1,Deaths,19,Timor-Leste,3,Both,22,All ages,345,Malaria,1,Number,1990,348.47683153108517,1384.1094442914493,24.819418653086757
1,Deaths,19,Timor-Leste,3,Both,22,All ages,345,Malaria,3,Rate,1990,44.50746754944414,176.77848454377278,3.169936622313984
1,Deaths,51,Poland,3,Both,22,All ages,298,HIV/AIDS,1,Number,1990,20.167866666506796,20.516155171612628,19.83400425490132
1,Deaths,51,Poland,3,Both,22,All ages,298,HIV/AIDS,3,Rate,1990,0.0528538413786488,0.05376659956508813,0.051978889593361895
1,Deaths,19,Timor-Leste,3,Both,22,All ages,298,HIV/AIDS,1,Number,1990,18.868600367464957,121.13128612944524,0.3395111001025002
1,Deaths,19,Timor-Leste,3,Both,22,All ages,298,HIV/AIDS,3,Rate,1990,2.4098979977194355,15.470890167766582,0.0433623641609017
1,Deaths,305,Bermuda,3,Both,22,All ages,345,Malaria,1,Number,1990,0.0,0.0,0.0
1,Deaths,305,Bermuda,3,Both,22,All ages,345,Malaria,3,Rate,1990,0.0,0.0,0.0
1,Deaths,210,Liberia,3,Both,22,All ages,345,Malaria,1,Number,1990,3996.190132239541,7511.011956790934,1525.3993159295514
1,Deaths,210,Liberia,3,Both,22,All ages,345,Malaria,3,Rate,1990,203.4477652275456,382.38886205099453,77.65873785679322
1,Deaths,98,Chile,3,Both,22,All ages,345,Malaria,1,Number,1990,0.0,0.0,0.0
1,Deaths,98,Chile,3,Both,22,All ages,345,Malaria,3,Rate,1990,0.0,0.0,0.0
1,Deaths,422,United States Virgin Islands,3,Both,22,All ages,298,HIV/AIDS,1,Number,1990,7.649607838600645,7.835294025032502,7.484445805945
1,Deaths,422,United States Virgin Islands,3,Both,22,All ages,298,HIV/AIDS,3,Rate,1990,7.2157205360461525,7.390874564457293,7.059926527261177
1,Deaths,385,Puerto Rico,3,Both,22,All ages,345,Malaria,1,Number,1992,0.0,0.0,0.0
1,Deaths,385,Puerto Rico,3,Both,22,All ages,345,Malaria,3,Rate,1992,0.0,0.0,0.0
1,Deaths,146,Lebanon,3,Both,22,All ages,345,Malaria,1,Number,1990,0.0,0.0,0.0
1,Deaths,146,Lebanon,3,Both,22,All ages,345,Malaria,3,Rate,1990,0.0,0.0,0.0
1,Deaths,35,Georgia,3,Both,22,All ages,298,HIV/AIDS,1,Number,1990,1.913563016142141,2.0013652876016996,1.8307519713186753
1,Deaths,35,Georgia,3,Both,22,All ages,298,HIV/AIDS,3,Rate,1990,0.03473802250453012,0.03633194821075542,0.03323470543870345
1,Deaths,83,Iceland,3,Both,22,All ages,298,HIV/AIDS,1,Number,1990,1.9670766799342991,2.0731601180625003,1.8696820828000003
1,Deaths,83,Iceland,3,Both,22,All ages,298,HIV/AIDS,3,Rate,1990,0.7745277178232094,0.8162976010567485,0.7361790271919624
1,Deaths,162,Bhutan,3,Both,22,All ages,298,HIV/AIDS,1,Number,1990,4.840446372694138,29.095496412599967,0.12945295858850003
1,Deaths,162,Bhutan,3,Both,22,All ages,298,HIV/AIDS,3,Rate,1990,0.790708758983309,4.752880641378802,0.021146724981741347
1,Deaths,67,Japan,3,Both,22,All ages,298,HIV/AIDS,1,Number,1990,68.46947790224439,69.37640640948958,67.58075007307228
1,Deaths,67,Japan,3,Both,22,All ages,298,HIV/AIDS,3,Rate,1990,0.054398433600224914,0.055118980794289486,0.05369234669427661
1,Deaths,114,Haiti,3,Both,22,All ages,298,HIV/AIDS,1,Number,1990,2921.510229758614,5479.42655573425,1594.9604242232501
1,Deaths,114,Haiti,3,Both,22,All ages,298,HIV/AIDS,3,Rate,1990,45.96656544556809,86.21240371256621,25.094847170604115
1,Deaths,422,United States Virgin Islands,3,Both,22,All ages,345,Malaria,1,Number,1990,0.0,0.0,0.0
1,Deaths,422,United States Virgin Islands,3,Both,22,All ages,345,Malaria,3,Rate,1990,0.0,0.0,0.0
1,Deaths,17,Sri Lanka,3,Both,22,All ages,345,Malaria,1,Number,1991,725.6017708573878,1802.4436778451586,311.13105687901555
1,Deaths,17,Sri Lanka,3,Both,22,All ages,345,Malaria,3,Rate,1991,4.17237638864848,10.364464015052619,1.7890748446814264
1,Deaths,178,Eritrea,3,Both,22,All ages,345,Malaria,1,Number,1990,604.5014257339104,2977.578727791635,31.260998757091357
1,Deaths,178,Eritrea,3,Both,22,All ages,345,Malaria,3,Rate,1990,20.14048753075167,99.20553481922886,1.041538909360961
1,Deaths,146,Lebanon,3,Both,22,All ages,298,HIV/AIDS,1,Number,1990,48.174044029892144,156.27854265288497,2.5240198160075002
1,Deaths,146,Lebanon,3,Both,22,All ages,298,HIV/AIDS,3,Rate,1990,1.4709197949361499,4.771723166302265,0.0770670344360716
1,Deaths,48,Hungary,3,Both,22,All ages,345,Malaria,1,Number,1991,0.0,0.0,0.0
1,Deaths,48,Hungary,3,Both,22,All ages,345,Malaria,3,Rate,1991,0.0,0.0,0.0
1,Deaths,20,Viet Nam,3,Both,22,All ages,345,Malaria,1,Number,1990,693.7977423846548,2271.120975761557,167.86566949228467
